task_name,processing_time,samples_drawn,input_tokens,output_tokens,temperature
e3497940,13.21,10,1641,9202,0.5
e3497940,17.93,10,1641,16846,0.7
e3497940,11.1,10,1641,12401,0.9
94f9d214,12.84,10,1061,15270,0.1
94f9d214,14.53,10,1061,16981,0.3
94f9d214,13.74,10,1061,15445,0.5
94f9d214,12.01,10,1061,14709,0.7
94f9d214,12.08,10,1061,14520,0.9
e48d4e1a,17.41,10,2885,11871,0.1
e48d4e1a,18.29,10,2885,20224,0.3
e48d4e1a,18.08,10,2885,15919,0.5
e48d4e1a,18.01,10,2885,17153,0.7
e48d4e1a,17.8,10,2885,19892,0.9
1a07d186,19.53,10,5223,15633,0.1
1a07d186,18.63,10,5223,20382,0.3
1a07d186,17.83,10,5223,16167,0.5
1a07d186,20.88,10,5223,19371,0.7
1a07d186,18.53,10,5223,21032,0.9
56dc2b01,17.82,10,1875,21728,0.1
56dc2b01,18.03,10,1875,22737,0.3
56dc2b01,17.52,10,1875,14463,0.5
56dc2b01,23.89,10,1875,19743,0.7
56dc2b01,17.77,10,1875,19318,0.9
1cf80156,13.33,10,1797,19978,0.1
1cf80156,9.83,10,1797,10037,0.3
1cf80156,17.61,10,1797,20391,0.5
1cf80156,14.03,10,1797,13740,0.7
1cf80156,13.72,10,1797,15346,0.9
97999447,17.82,10,2007,24407,0.1
97999447,17.88,10,2007,13254,0.3
97999447,17.86,10,2007,22021,0.5
97999447,17.97,10,2007,15770,0.7
97999447,13.45,10,2007,12289,0.9
aedd82e4,15.99,10,809,11633,0.1
aedd82e4,10.24,10,809,11369,0.3
aedd82e4,9.52,10,809,12305,0.5
aedd82e4,11.59,10,809,11665,0.7
aedd82e4,10.41,10,809,11343,0.9
681b3aeb,17.46,10,1452,19620,0.1
681b3aeb,12.07,10,1452,12707,0.3
681b3aeb,17.41,10,1452,16148,0.5
681b3aeb,14.03,10,1452,17295,0.7
681b3aeb,20.27,10,1452,17561,0.9
c9e6f938,7.17,10,714,9200,0.1
c9e6f938,7.69,10,714,9676,0.3
c9e6f938,8.3,10,714,9596,0.5
c9e6f938,7.78,10,714,10317,0.7
c9e6f938,7.68,10,714,9505,0.9
28bf18c6,13.85,10,1209,15067,0.1
28bf18c6,14.2,10,1209,15004,0.3
28bf18c6,15.58,10,1209,18074,0.5
28bf18c6,16.19,10,1209,15911,0.7
28bf18c6,13.92,10,1209,15342,0.9
0b148d64,17.63,10,4440,14254,0.1
0b148d64,23.86,10,4440,13853,0.3
0b148d64,18.23,10,4440,18142,0.5
0b148d64,18.02,10,4440,10469,0.7
0b148d64,17.71,10,4440,13192,0.9
6fa7a44f,9.56,10,809,12177,0.1
6fa7a44f,12.07,10,809,11807,0.3
6fa7a44f,9.48,10,809,13025,0.5
6fa7a44f,9.68,10,809,9796,0.7
6fa7a44f,9.76,10,809,10496,0.9
e40b9e2f,14.5,10,2271,13239,0.1
e40b9e2f,16.59,10,2271,15859,0.3
e40b9e2f,14.24,10,2271,9450,0.5
e40b9e2f,17.2,10,2271,14576,0.7
e40b9e2f,16.38,10,2271,15641,0.9
e5062a87,21.01,10,2271,17907,0.1
e5062a87,17.42,10,2271,16917,0.3
e5062a87,17.81,10,2271,21540,0.5
e5062a87,18.12,10,2271,20638,0.7
e5062a87,17.82,10,2271,22662,0.9
963e52fc,8.59,10,1416,4939,0.1
963e52fc,8.71,10,1416,6200,0.3
963e52fc,8.7,10,1416,9224,0.5
963e52fc,8.91,10,1416,9899,0.7
963e52fc,12.91,10,1416,10088,0.9
e26a3af2,18.53,10,4149,19587,0.1
e26a3af2,17.92,10,4149,16763,0.3
e26a3af2,18.42,10,4149,24009,0.5
e26a3af2,17.72,10,4149,13113,0.7
e26a3af2,17.92,10,4149,15523,0.9
6a1e5592,18.3,10,2257,25448,0.1
6a1e5592,18.12,10,2257,25327,0.3
6a1e5592,14.15,10,2257,9729,0.5
6a1e5592,18.38,10,2257,24379,0.7
6a1e5592,17.77,10,2257,22251,0.9
b190f7f5,17.18,10,1929,13674,0.1
b190f7f5,17.59,10,1929,18885,0.3
b190f7f5,17.88,10,1929,20764,0.5
b190f7f5,18.45,10,1929,22598,0.7
b190f7f5,17.94,10,1929,24122,0.9
88a10436,17.49,10,1773,18706,0.1
88a10436,15.98,10,1773,16023,0.3
88a10436,17.64,10,1773,17060,0.5
88a10436,17.89,10,1773,20222,0.7
88a10436,15.46,10,1773,15577,0.9
272f95fa,17.39,10,3517,14261,0.1
272f95fa,18.28,10,3517,27947,0.3
272f95fa,12.54,10,3517,10580,0.5
272f95fa,18.23,10,3517,14694,0.7
272f95fa,17.71,10,3517,16840,0.9
2c608aff,17.7,10,4373,10403,0.1
2c608aff,18.93,10,4373,27775,0.3
2c608aff,18.33,10,4373,19637,0.5
2c608aff,18.12,10,4373,17544,0.7
2c608aff,17.61,10,4373,14925,0.9
23581191,10.57,10,1429,16561,0.1
23581191,16.79,10,1429,20615,0.3
23581191,16.3,10,1429,15149,0.5
23581191,10.33,10,1429,11842,0.7
23581191,19.97,10,1429,14638,0.9
f8b3ba0a,16.87,10,2549,16756,0.1
f8b3ba0a,18.33,10,2549,19357,0.3
f8b3ba0a,25.7,10,2549,17461,0.5
f8b3ba0a,18.12,10,2549,19725,0.7
f8b3ba0a,17.61,10,2549,11588,0.9
91413438,17.67,10,2915,17844,0.1
91413438,23.81,10,2915,9891,0.3
91413438,26.27,10,2915,14920,0.5
91413438,21.4,10,2915,19952,0.7
91413438,18.34,10,2915,23452,0.9
6e82a1ae,29.22,10,2271,10277,0.1
6e82a1ae,14.93,10,2271,12657,0.3
6e82a1ae,25.75,10,2271,15299,0.5
6e82a1ae,18.01,10,2271,15743,0.7
6e82a1ae,16.88,10,2271,15677,0.9
0dfd9992,19.24,10,8409,24162,0.1
0dfd9992,18.24,10,8409,15747,0.3
0dfd9992,21.72,10,8409,12955,0.5
0dfd9992,18.83,10,8409,15669,0.7
0dfd9992,20.89,10,8409,15364,0.9
a3325580,15.79,10,2481,10130,0.1
a3325580,17.54,10,2481,14960,0.3
a3325580,17.75,10,2481,18922,0.5
a3325580,17.48,10,2481,11475,0.7
a3325580,20.12,10,2481,13794,0.9
90c28cc7,22.63,10,4497,19842,0.1
90c28cc7,17.81,10,4497,14590,0.3
90c28cc7,19.67,10,4497,18902,0.5
90c28cc7,13.04,10,4497,11287,0.7
90c28cc7,17.68,10,4497,13268,0.9
7468f01a,17.81,10,2505,19929,0.1
7468f01a,15.67,10,2505,12211,0.3
7468f01a,17.53,10,2505,15494,0.5
7468f01a,18.1,10,2505,14737,0.7
7468f01a,17.72,10,2505,18551,0.9
a87f7484,17.67,10,1025,14523,0.1
a87f7484,9.92,10,1025,12911,0.3
a87f7484,10.81,10,1025,11188,0.5
a87f7484,11.36,10,1025,11347,0.7
a87f7484,10.91,10,1025,13495,0.9
95990924,18.23,10,3021,26799,0.1
95990924,18.54,10,3021,28463,0.3
95990924,18.3,10,3021,25226,0.5
95990924,18.56,10,3021,20206,0.7
95990924,18.44,10,3021,24183,0.9
f2829549,12.7,10,1099,16327,0.1
f2829549,20.06,10,1099,15572,0.3
f2829549,11.97,10,1099,13169,0.5
f2829549,15.16,10,1099,13149,0.7
f2829549,13.72,10,1099,14124,0.9
543a7ed5,17.38,10,3157,12066,0.1
543a7ed5,19.34,10,3157,30000,0.3
543a7ed5,26.44,10,3157,23517,0.5
543a7ed5,17.9,10,3157,9690,0.7
543a7ed5,18.64,10,3157,25620,0.9
23b5c85d,17.79,10,3955,12361,0.1
23b5c85d,9.73,10,3955,10568,0.3
23b5c85d,18.03,10,3955,16127,0.5
23b5c85d,18.12,10,3955,14289,0.7
23b5c85d,17.71,10,3955,13023,0.9
794b24be,13.88,10,1111,14403,0.1
794b24be,12.18,10,1111,10945,0.3
794b24be,16.65,10,1111,13641,0.5
794b24be,8.84,10,1111,10508,0.7
794b24be,11.51,10,1111,11740,0.9
3f7978a0,7.67,10,1710,10003,0.1
3f7978a0,12.91,10,1710,11749,0.3
3f7978a0,15.06,10,1710,16417,0.5
3f7978a0,14.94,10,1710,13227,0.7
3f7978a0,12.09,10,1710,12477,0.9
dc433765,17.91,10,2495,22149,0.1
dc433765,18.12,10,2495,23347,0.3
dc433765,17.51,10,2495,15633,0.5
dc433765,18.24,10,2495,23717,0.7
dc433765,17.89,10,2495,20710,0.9
25d487eb,18.01,10,3315,23598,0.1
25d487eb,26.26,10,3315,23580,0.3
25d487eb,18.28,10,3315,21692,0.5
25d487eb,22.57,10,3315,19384,0.7
25d487eb,18.12,10,3315,19358,0.9
32597951,19.71,10,5673,14006,0.1
32597951,17.95,10,5673,15948,0.3
32597951,18.1,10,5673,17299,0.5
32597951,18.53,10,5673,13074,0.7
32597951,18.23,10,5673,18460,0.9
42a50994,19.1,10,5009,25858,0.1
42a50994,18.31,10,5009,20001,0.3
42a50994,18.26,10,5009,21478,0.5
42a50994,18.32,10,5009,17527,0.7
42a50994,18.44,10,5009,20442,0.9
1caeab9d,17.95,10,1671,20671,0.1
1caeab9d,18.53,10,1671,23553,0.3
1caeab9d,17.61,10,1671,16483,0.5
1caeab9d,18.44,10,1671,20241,0.7
1caeab9d,17.61,10,1671,12222,0.9
db3e9e38,10.88,10,1003,14006,0.1
db3e9e38,12.26,10,1003,12330,0.3
db3e9e38,11.3,10,1003,12692,0.5
db3e9e38,13.72,10,1003,13464,0.7
db3e9e38,11.67,10,1003,12631,0.9
39a8645d,8.66,10,2316,10244,0.1
39a8645d,16.28,10,2316,10410,0.3
39a8645d,18.13,10,2316,15649,0.5
39a8645d,18.53,10,2316,16947,0.7
39a8645d,18.23,10,2316,20243,0.9
4290ef0e,19.05,10,3735,18668,0.1
4290ef0e,17.83,10,3735,14164,0.3
4290ef0e,20.07,10,3735,17044,0.5
4290ef0e,19.15,10,3735,15710,0.7
4290ef0e,18.23,10,3735,12064,0.9
7e0986d6,18.37,10,2797,15821,0.1
7e0986d6,24.77,10,2797,12270,0.3
7e0986d6,22.12,10,2797,17404,0.5
7e0986d6,18.33,10,2797,18534,0.7
7e0986d6,17.61,10,2797,15662,0.9
d13f3404,8.72,10,876,10101,0.1
d13f3404,8.91,10,876,10416,0.3
d13f3404,9.47,10,876,9890,0.5
d13f3404,8.95,10,876,10092,0.7
d13f3404,9.24,10,876,12334,0.9
99fa7670,8.9,10,1181,9138,0.1
99fa7670,7.89,10,1181,7678,0.3
99fa7670,9.72,10,1181,10372,0.5
99fa7670,9.01,10,1181,9407,0.7
99fa7670,8.61,10,1181,9391,0.9
b775ac94,18.79,10,9447,14646,0.1
b775ac94,21.3,10,9447,18480,0.3
b775ac94,19.15,10,9447,18411,0.5
b775ac94,18.93,10,9447,16237,0.7
b775ac94,13.12,10,9447,11424,0.9
beb8660c,9.42,10,1113,11145,0.1
beb8660c,9.44,10,1113,10642,0.3
beb8660c,17.49,10,1113,13861,0.5
beb8660c,12.53,10,1113,11999,0.7
beb8660c,12.4,10,1113,12016,0.9
e509e548,18.52,10,4533,18030,0.1
e509e548,18.23,10,4533,13532,0.3
e509e548,14.95,10,4533,13398,0.5
e509e548,10.48,10,4533,10165,0.7
e509e548,18.5,10,4533,14662,0.9
6f8cd79b,6.6,10,911,8184,0.1
6f8cd79b,9.42,10,911,6806,0.3
6f8cd79b,9.21,10,911,8453,0.5
6f8cd79b,5.12,10,911,5815,0.7
6f8cd79b,6.96,10,911,6425,0.9
d4f3cd78,12.44,10,1657,18569,0.1
d4f3cd78,11.81,10,1657,16523,0.3
d4f3cd78,11.74,10,1657,11744,0.5
d4f3cd78,11.88,10,1657,15552,0.7
d4f3cd78,17.51,10,1657,15282,0.9
4522001f,11.71,10,997,10909,0.1
4522001f,12.82,10,997,13589,0.3
4522001f,9.62,10,997,9788,0.5
4522001f,9.12,10,997,11121,0.7
4522001f,14.13,10,997,11609,0.9
ecdecbb3,17.7,10,4113,13258,0.1
ecdecbb3,17.92,10,4113,17871,0.3
ecdecbb3,18.07,10,4113,17768,0.5
ecdecbb3,18.28,10,4113,19889,0.7
ecdecbb3,19.07,10,4113,21650,0.9
1f0c79e5,17.62,10,2429,11182,0.1
1f0c79e5,15.66,10,2429,10084,0.3
1f0c79e5,17.81,10,2429,19246,0.5
1f0c79e5,17.92,10,2429,21255,0.7
1f0c79e5,15.78,10,2429,15178,0.9
2bee17df,16.28,10,2799,11373,0.1
2bee17df,17.47,10,2799,11584,0.3
2bee17df,17.64,10,2799,14706,0.5
2bee17df,18.02,10,2799,16472,0.7
2bee17df,17.72,10,2799,19842,0.9
29ec7d0e,18.72,10,8261,11363,0.1
29ec7d0e,34.61,10,8261,25667,0.3
29ec7d0e,19.25,10,8261,22618,0.5
29ec7d0e,19.14,10,8261,20620,0.7
29ec7d0e,18.42,10,8261,19750,0.9
239be575,7.81,10,1197,8265,0.1
239be575,6.04,10,1197,8135,0.3
239be575,13.8,10,1197,10314,0.5
239be575,10.78,10,1197,10833,0.7
239be575,10.54,10,1197,12073,0.9
d4469b4b,13.24,10,1241,13209,0.1
d4469b4b,12.3,10,1241,13433,0.3
d4469b4b,10.95,10,1241,11072,0.5
d4469b4b,15.25,10,1241,14970,0.7
d4469b4b,14.55,10,1241,14842,0.9
fcb5c309,11.0,10,2742,9735,0.1
fcb5c309,10.14,10,2742,9952,0.3
fcb5c309,18.12,10,2742,14688,0.5
fcb5c309,20.48,10,2742,18287,0.7
fcb5c309,17.58,10,2742,11704,0.9
90f3ed37,20.58,10,3171,9936,0.1
90f3ed37,18.94,10,3171,10726,0.3
90f3ed37,18.04,10,3171,9958,0.5
90f3ed37,19.39,10,3171,16925,0.7
90f3ed37,17.77,10,3171,9545,0.9
8f2ea7aa,14.59,10,1929,15009,0.1
8f2ea7aa,13.82,10,1929,11725,0.3
8f2ea7aa,15.67,10,1929,16943,0.5
8f2ea7aa,13.47,10,1929,17171,0.7
8f2ea7aa,14.33,10,1929,15374,0.9
29623171,18.74,10,2649,29633,0.1
29623171,17.51,10,2649,18425,0.3
29623171,18.23,10,2649,20064,0.5
29623171,17.31,10,2649,13101,0.7
29623171,17.71,10,2649,17930,0.9
8d5021e8,9.52,10,849,11353,0.1
8d5021e8,10.56,10,849,12646,0.3
8d5021e8,8.72,10,849,11404,0.5
8d5021e8,10.41,10,849,11795,0.7
8d5021e8,8.19,10,849,10679,0.9
b548a754,17.62,10,2859,10501,0.1
b548a754,17.92,10,2859,10450,0.3
b548a754,17.79,10,2859,16613,0.5
b548a754,21.23,10,2859,16951,0.7
b548a754,19.06,10,2859,12481,0.9
27a28665,20.78,10,737,12528,0.1
27a28665,17.4,10,737,12425,0.3
27a28665,10.04,10,737,10837,0.5
27a28665,9.4,10,737,9403,0.7
27a28665,17.52,10,737,11650,0.9
cdecee7f,18.61,10,1452,16511,0.1
cdecee7f,11.59,10,1452,9464,0.3
cdecee7f,9.56,10,1452,11483,0.5
cdecee7f,13.26,10,1452,15748,0.7
cdecee7f,15.86,10,1452,16213,0.9
b60334d2,10.06,10,1429,8079,0.1
b60334d2,11.78,10,1429,15349,0.3
b60334d2,15.37,10,1429,16139,0.5
b60334d2,16.78,10,1429,18221,0.7
b60334d2,20.48,10,1429,15700,0.9
46f33fce,18.31,10,4971,19047,0.1
46f33fce,17.98,10,4971,13988,0.3
46f33fce,27.34,10,4971,20412,0.5
46f33fce,18.65,10,4971,22955,0.7
46f33fce,18.74,10,4971,19903,0.9
5614dbcf,9.06,10,997,11006,0.1
5614dbcf,13.97,10,997,12498,0.3
5614dbcf,11.32,10,997,13041,0.5
5614dbcf,13.21,10,997,14433,0.7
5614dbcf,15.36,10,997,12980,0.9
a740d043,17.25,10,912,12348,0.1
a740d043,14.24,10,912,11652,0.3
a740d043,8.37,10,912,10618,0.5
a740d043,22.44,10,912,15329,0.7
a740d043,11.78,10,912,11230,0.9
673ef223,17.73,10,3783,18181,0.1
673ef223,18.31,10,3783,20328,0.3
673ef223,18.32,10,3783,18598,0.5
673ef223,18.32,10,3783,17453,0.7
673ef223,17.94,10,3783,17048,0.9
d631b094,7.86,10,623,7443,0.1
d631b094,6.55,10,623,8689,0.3
d631b094,6.86,10,623,8706,0.5
d631b094,6.86,10,623,7499,0.7
d631b094,5.53,10,623,6961,0.9
3af2c5a8,10.83,10,1011,12476,0.1
3af2c5a8,11.74,10,1011,10375,0.3
3af2c5a8,13.72,10,1011,13873,0.5
3af2c5a8,10.98,10,1011,12317,0.7
3af2c5a8,11.13,10,1011,11634,0.9
